City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,roma,43.2128,-75.4557,-0.92,69,100,5.66,US,1741487329
339,ulety,51.3572,112.4849,-7.6,79,100,2.11,RU,1741487330
340,sitka,57.0531,-135.33,3.57,93,96,2.21,US,1741487331
341,nizhneangarsk,55.7833,109.55,-5.67,77,100,3.36,RU,1741487333
342,chibougamau,49.9168,-74.3659,-15.21,72,0,6.17,CA,1741487334
343,sandnessjoen,66.0217,12.6316,1.32,70,100,4.12,NO,1741487335
344,maxixe,-23.8597,35.3472,24.99,90,51,2.54,MZ,1741487336
345,namdrik,5.5994,168.1028,27.68,77,24,8.84,MH,1741487337
346,kawerau,-38.1,176.7,23.94,51,89,0.89,NZ,1741487338
347,mitu,1.1983,-70.1733,22.02,97,88,0.85,CO,1741487340
348,affery,6.315,-3.9603,24.38,97,100,1.86,CI,1741487341
349,polykastro,40.9936,22.5658,9.69,59,3,0.82,GR,1741487342
350,klyuchi,52.2667,79.1667,-4.18,97,100,4.55,RU,1741487346
351,hohhot,40.8106,111.6522,7.16,42,54,1.0,CN,1741487347
352,fortaleza,-3.7227,-38.5247,27.9,83,75,6.69,BR,1741487125
353,awjilah,29.1081,21.2869,15.53,57,0,4.0,LY,1741487349
354,la'ie,21.6477,-157.9253,24.97,71,51,4.02,US,1741487350
355,gannan,47.9147,123.5031,-0.89,75,8,5.41,CN,1741487351
356,al ghayzah,16.2079,52.176,22.66,81,45,2.79,YE,1741487352
357,nabire,-3.3667,135.4833,28.87,71,92,1.73,ID,1741487354
